no,code,Barcode,category,item_name,cost_price_qty,purchase_price,Selling_price,qty,stock,dis_limit
2181,2969,2969,Jewlery,Chain Stainless Steel 2969,200.00 - 465.00 - 1.000,200.00 , 465.00 , 1.000,1,400
2182,2970,2970,Jewlery,Chain Stainless Steel 2970,560.00 - 985.00 - 0.000,560.00 , 985.00 , 0.000,0,880
2183,2971,2971,Jewlery,Ladies Silver Chain 2971,350.00 - 795.00 - 1.000,350.00 , 795.00 , 1.000,1,600
2184,2972,2972,Jewlery,Hand Ring 2972,180.00 - 465.00 - 3.000,180.00 , 465.00 , 3.000,3,300
2185,2973,2973,Jewlery,Saree Pin Fashion Jewelry,180.00 - 385.00 - 3.000,180.00 , 385.00 , 3.000,3,250
2186,2974,2974,Jewlery,Saree Pin Fashion Jewlery,180.00 - 375.00 - 3.000,180.00 , 375.00 , 3.000,3,250
2187,2975,2975,Jewlery,Mondiyal Bangle 2975,120.00 - 295.00 - 1.000,120.00 , 295.00 , 1.000,1,200
2188,2976,2976,Jewlery,Saree Pin,70.00 - 165.00 - 21.000,70.00 , 165.00 , 21.000,21,120
3823,2977,2977,Party items,HB Foil Balloon Silver Color,300.00 - 695.00 - 3.000,300.00 , 695.00 , 3.000,3,500
3824,2978,2978,Party items,HB Foil Balloon Black Color,300.00 - 695.00 - 1.000,300.00 , 695.00 , 1.000,1,500
3825,2979,2979,Party items,Foil Fringe Curtain Blue,180.00 - 545.00 - 3.000,180.00 , 545.00 , 3.000,3,350
2189,2980,2980,Jewlery,Saree Pin 2980,100.00 - 265.00 - 1.000,100.00 , 265.00 , 1.000,1,180
2190,2981,2981,Jewlery,Saree Pin 2981,75.00 - 165.00 - 34.000,75.00 , 165.00 , 34.000,34,100
2191,2982,2982,Jewlery,Saree Pin 2982,65.00 - 145.00 - 6.000,65.00 , 145.00 , 6.000,6,90
2192,2983,2983,Jewlery,Saree Pin 2983,90.00 - 225.00 - 1.000,90.00 , 225.00 , 1.000,1,150
2193,2984,2984,Jewlery,Saree Pin 2984,180.00 - 385.00 - 4.000,180.00 , 385.00 , 4.000,4,250
2194,2985,2985,Jewlery,Saree Pin 2985,15.00 - 30.00 - 4.000,15.00 , 30.00 , 4.000,4,30
2195,2986,2986,Jewlery,Glue Stick Large,40.00 - 80.00 - 5.000,40.00 , 80.00 , 5.000,5,80
2738,2991,2991,Other,Tattoo Hand Socks,150.00 - 395.00 - 5.000,150.00 , 395.00 , 5.000,5,280
2739,2992,2992,Other,Globe Sports Hand Socks,350.00 - 675.00 - 2.000,350.00 , 675.00 , 2.000,2,500
2742,2997,2997,Other,Stockings Socks,100.00 - 265.00 - 12.000,100.00 , 265.00 , 12.000,12,200
461,2998,2998,Hair care,Max Hair Net,10.00 - 25.00 - 42.000,10.00 , 25.00 , 42.000,42,25
2196,2999,2999,Jewlery,Chain 2999,70.00 - 165.00 - 7.000,70.00 , 165.00 , 7.000,7,100
2197,3000,3000,Jewlery,Leg Chain 3000,150.00 - 365.00 - 1.000,150.00 , 365.00 , 1.000,1,250
2198,3001,3001,Jewlery,Leg Chain 3001,200.00 - 465.00 - 0.000,200.00 , 465.00 , 0.000,0,400
2199,3002,3002,Jewlery,Bracelet 3002,300.00 - 565.00 - 1.000,300.00 , 565.00 , 1.000,1,400
2200,3003,3003,Jewlery,Head Chain 3003,150.00 - 365.00 - 2.000,150.00 , 365.00 , 2.000,2,250
2201,3004,3004,Jewlery,Leg Chain 3004,130.00 - 365.00 - 7.000,130.00 , 365.00 , 7.000,7,250
2202,3005,3005,Jewlery,Head Chain 3005,130.00 - 345.00 - 5.000,130.00 , 345.00 , 5.000,5,230
2203,3006,3006,Jewlery,Head Chain 3006,100.00 - 265.00 - 2.000,100.00 , 265.00 , 2.000,2,200
2204,3007,3007,Jewlery,Heasd Chain 3007,75.00 - 165.00 - 5.000,75.00 , 165.00 , 5.000,5,120
2161,2434,3008,Jewlery,Watches L 045,200.00 - 495.00 - 13.000,200.00 , 495.00 , 13.000,13,350
2205,3008,3008,Jewlery,Diana Chain 3008,200.00 - 495.00 - 51.000,200.00 , 495.00 , 51.000,51,350
2206,3009,3009,Jewlery,Diana Chain 3009,125.00 - 295.00 - 16.000,125.00 , 295.00 , 16.000,16,200
